Gene,GeneID,Count,PMID
COX-2,26198,1,[35094261]
Fbx23,26262,1,[31216760]
ERbeta,26284,1,[12828470]
glucagon,2641,2,"[36937284, 35211458]"
ERK,26413,4,"[29566694, 25457483, 32992840, 32992840]"
p38,26416,4,"[19651243, 29566694, 25457483, 27070586]"
ERK-1/2,26417,5,"[20937401, 23468988, 19651243, 30971441, 34361637]"
JNK,26419,5,"[25457483, 19651243, 29566694, 20937401, 34361637]"
AST,26503,1,[21540101]
AN2,26610,1,[30650514]
CA,266790,2,"[21740099, 21740099]"
TIM,26762,1,[30445040]
cyclin B1,268697,1,[19651243]
CTXM-15,2716485,1,[36899290]
fil1,27179,1,[19443619]
beta-galactosidase,2720,1,[37235378]
Gli,2735,6,"[31795147, 30441806, 36797277, 30441806, 31795147, 30441806]"
Gli2,2736,2,"[36797277, 30441806]"
HtrA2,27429,1,[26870680]
Grx,2745,2,"[19941471, 19941471]"
Hydrophobin,27677088,2,"[36374077, 36374077]"
IL-8,280828,1,[38002956]
tumor necrosis factor-alpha,280943,1,[35931488]
MCP-1,281043,1,[38002956]
IFN-gamma,281237,1,[38002956]
IL-1alpha,281250,2,"[38002956, 35931488]"
STAT5A,282375,1,[24312879]
OVA,282665,6,"[31546903, 31488035, 19416507, 19416507, 31546903, 31488035]"
ANG,283,1,[25185869]
nonribosomal peptide synthetase,28379504,1,[26704531]
penicillin-binding protein,28381262,1,[36070164]
clumping factor A,28381647,1,[36070164]
P-gp,283871,2,"[22536197, 28606042]"
peroxidase,28721236,1,[21725501]
IL-4,287287,2,"[11777845, 11777845]"
alanine aminotransferase,2875,1,[37180439]
J-2 and J-3,28831,1,[32508319]
A2a,28882,1,[28358337]
beta-(1 3,28888,3,"[29256842, 19770064, 32370108]"
B1 and G1,28905,3,"[15281234, 15281234, 15156025]"
J-2 and J-3,28949,1,[32508319]
cyclic adenosine monophosphate protein (cAMP) dependent protein kinase A,29108831,1,[31973852]
GAPDH,29109298,2,"[31973852, 31973852]"
O-methyltransferase,29111727,1,[30947377]
chitinase,29112602,1,[30227935]
cytochrome p450- sterol desaturase,29112906,1,[29853165]
endoPG,29114947,2,"[37935846, 37935846]"
mitogen-activated protein (MAP) kinase,29119845,1,[30967462]
PD-L1,29126,4,"[35887442, 36160406, 37662726, 35887442]"
AR,29183,2,"[9870716, 9870716]"
PDIA3,2923,1,[31280524]
DNA polymerase beta,29240,2,"[14981314, 9514006]"
thrombin,29251,1,[21788727]
ANT,293,1,[36527127]
GSK-3beta,2931,1,[30355923]
GSK3beta,2932,1,[36947936]
glutathione reductase,2936,1,[12963009]
nitrite reductase,29361354,1,[23360460]
FB(1),29844,2,"[12324191, 9251171]"
dipeptidyl aminopeptidase II,29952,1,[17660441]
cellulase,29983681,1,[31267375]
ANXA1,301,1,[31280524]
IL-17,301289,1,[37298777]
H2AX,3014,3,"[30552586, 30552586, 30552586]"
H2A.Z,3015,1,[32594818]
ANXA2,302,1,[31280524]
tyrosinase,30207,1,[37110512]
MPO,303413,2,"[27402683, 27402683]"
HBE,3046,1,[37108944]
fli1,30619,1,[31989798]
rpd3,3065,1,[35887470]
HexA,3073,2,"[16256699, 16256699]"
HexB,3074,2,"[16256699, 16256699]"
Annexin V,308,17,"[28359723, 28728544, 33385937, 29805569, 34331181, 37894138, 21468561, 25806467, 33029139, 24368570, 26291658, 30974882, 21122037, 25537793, 36338578, 33389242, 36557944]"
HIF-1,3091,5,"[36598091, 32228434, 36976205, 31280524, 36976205]"
SIRT1,309757,1,[31018574]
NGF,310738,7,"[16881016, 28758954, 22203867, 25288148, 21530015, 21530015, 25288148]"
VIT,313831,1,[30473664]
c-Fos,314322,1,[25159861]
HMGB1,3146,1,[35931117]
HMGR,3159,3,"[33386071, 37197561, 26803304]"
HO-1,3162,6,"[21540101, 37597647, 23612372, 34575836, 34575836, 37351768]"
APAF-1,317,1,[31673827]
C1/C2 (5/6,3183,1,[1548191]
HNRNPH1,3187,1,[31280524]
adenomatous polyposis coli,324,1,[26445050]
HRAS,3265,1,[24718855]
APX,328,1,[36363809]
Hes-1,3280,2,"[36797277, 31795147]"
IAP-1 and -2,330,3,"[19861509, 17666799, 17666799]"
HSPA4,3308,2,"[31280524, 21684316]"
HSPA5,3309,1,[31280524]
X-linked inhibitor of apoptosis protein,331,2,"[17666799, 17666799]"
HSPA8,3312,1,[31280524]
HSP90,3320,2,"[22991673, 22991673]"
Mitogen-Activated Protein Kinase,3354888,2,"[30389761, 30389761]"
apolipoprotein B100,338,1,[32697756]
ICAM-1,3383,5,"[12765878, 36498968, 21093573, 36498968, 34575836]"
IDH,3417,3,"[29738972, 29738972, 19291250]"
IFNbeta,3438,1,[26068271]
IFN-alpha,3439,2,"[22076990, 22076990]"
IFN-gamma,3458,8,"[19009233, 24867795, 35973736, 21918170, 16169168, 35001312, 34575836, 36498968]"
major products B1- B2- G1,350,1,[21038701]
Abeta,351,6,"[29766796, 37949224, 30158491, 37949224, 32474470, 9578144]"
PSA,354,3,"[15986440, 15986440, 21147815]"
APO-1,355,2,"[26327534, 26327534]"
IL-1,3552,10,"[10096130, 35635755, 10096130, 23612372, 25404219, 28947170, 24838618, 24867795, 32344935, 10096130]"
IL-2,3558,3,"[27165325, 24867795, 35973736]"
CD25,3559,1,[35973736]
Fas ligand,356,3,"[21916504, 26098777, 30606981]"
IL-4,3565,2,"[35001312, 19009233]"
HSF,3569,10,"[22135889, 31489456, 10096130, 27165325, 35635755, 22126586, 19009233, 36498968, 38009054, 37789186]"
IL-8,3576,6,"[36498968, 23431343, 29408666, 38009054, 36498968, 34575836]"
IL-10,3586,1,[38009054]
IL-13,3596,1,[16213796]
interleukin-17A,3605,1,[35296854]
IMPDH2,3615,1,[37175852]
