Chemicals,ChemicalsID,Length,PMID
w,D014414,7,"[22994321, 31601062, 24941165, 36235005, 21875091, 28898082, 30806258]"
tunicamycin,D014415,3,"[30984130, 29463727, 29463727]"
tyramine,D014439,4,"[38030710, 33430779, 31416118, 23189746]"
tyrocidine,D014440,1,[37755004]
Tyrosine,D014443,64,"[31298534, 31298534, 20943158, 23406659, 33496609, 21923907, 32679089, 35575690, 35575690, 35575690, 24295920, 32813277, 29146266, 31411049, 21643703, 28620689, 31861067, 30771296, 30771296, 30337674, 24841822, 23479415, 31901452, 30109409, 27941094, 27822460, 18074175, 18074175, 33618379, 26292030, 33491454, 29303991, 27696815, 30194285, 17329834, 11726498, 31756078, 25707862, 25707862, 26539050, 32664999, 19009233, 26016674, 26016674, 25765308, 27401923, 27401923, 26524521, 23349065, 28620397, 26553209, 10564818, 28116768, 35793792, 23390353, 24884360, 23206756, 36144275, 29889418, 23189746, 36089190, 33863703, 30011063, 21725501]"
ubiquinones,D014451,17,"[34625822, 27707428, 25336756, 25336756, 38030710, 37372425, 34073512, 28854674, 29867824, 31540065, 34117563, 20686231, 25721423, 25721423, 17932820, 29125753, 29125753]"
uracil,D014498,10,"[37162357, 29260908, 35043238, 28286319, 33672933, 29763675, 32292060, 19919120, 29557773, 25404219]"
uranium,D014501,1,[27232848]
urea,D014508,15,"[28083890, 21061602, 35814705, 20024080, 22700228, 36967924, 26755737, 36736024, 27242681, 22783085, 19282369, 4911442, 34118631, 21075624, 32373220]"
urethane,D014520,1,[32026679]
uric acid,D014527,7,"[33386071, 2967694, 35430257, 25828073, 4911442, 4911442, 4911442]"
uridine,D014529,12,"[29260908, 14698104, 38030710, 37812276, 33672933, 22694214, 24116376, 38004706, 29557773, 35366116, 26307771, 17279797]"
UDP,D014530,3,"[37566738, 27491546, 36786575]"
UDP-galactose,D014531,1,[19073578]
UDP-glucose,D014532,3,"[37646319, 37566738, 37839651]"
UDP-glucuronic acid,D014535,1,[19073578]
UDP-xylose,D014540,2,"[26433966, 28754206]"
uridine 5'-monophosphate,D014542,1,[25954910]
uronic acid,D014574,2,"[9987601, 32120969]"
UDCA,D014580,6,"[34755640, 8365117, 28360029, 28360029, 28360029, 35714148]"
valine,D014633,19,"[23406659, 7763467, 7763467, 27707428, 24295920, 30129427, 26184239, 23479415, 33645028, 21802058, 20735852, 23639845, 22779915, 24116376, 34073017, 22076990, 19919120, 14962038, 11823198]"
valinomycin,D014634,7,"[21585551, 21245311, 21245311, 21245311, 31960351, 34946638, 18001088]"
sodium valproate,D014635,13,"[30636097, 24105402, 35622275, 29759727, 29759727, 37374906, 31546616, 30275353, 33946518, 27148199, 27148199, 27148199, 28213885]"
vanadate,D014638,2,"[12919799, 16347506]"
V,D014639,3,"[28482319, 35695596, 24796308]"
vancomycin,D014640,19,"[21116414, 33322256, 37642717, 23620853, 34983506, 36421998, 25851532, 20562278, 33033304, 36452113, 22957125, 38093524, 34119841, 35471617, 32994334, 21768346, 21558170, 36074093, 29216824]"
vanillic acid,D014641,5,"[27868205, 36967924, 12696935, 25090452, 25090452]"
verapamil,D014700,4,"[10200037, 36983477, 9578144, 26222905]"
vidarabine,D014740,1,[19149592]
vinblastine,D014747,8,"[22622838, 33725144, 26225453, 8478255, 27550200, 36045295, 33807415, 26983347]"
vinca alkaloids,D014748,4,"[30292350, 32023633, 7572353, 33807415]"
Vincamine,D014749,2,"[27664729, 27664729]"
vincristine,D014750,9,"[22622838, 33725144, 26225453, 27550200, 36422259, 36422259, 33807415, 26983347, 33934215]"
viomycin,D014756,1,[1770350]
virginiamycin,D014769,1,[37258607]
vitamin B12,D014805,2,"[27005411, 31733964]"
vitamin D,D014807,1,[33705950]
vitamin E,D014810,1,[18218974]
S-methylmethionine,D014814,1,[23532849]
warfarin,D014859,2,"[34308039, 28432098]"
water,D014867,423,"[33557071, 33820543, 31861953, 10560628, 18052326, 21613136, 28394635, 27787678, 21670565, 19560184, 35733285, 23984800, 21182711, 33314413, 24162095, 24162095, 16459143, 26857605, 25532964, 26364643, 15910530, 28036382, 30825812, 31960351, 24730130, 28531124, 28531124, 30744547, 22439650, 23379715, 15240076, 23826217, 25886005, 35737056, 33540315, 18343466, 12209810, 7857517, 25275648, 27999964, 33355891, 14584670, 27825996, 26296744, 35457008, 31517996, 34258698, 21339946, 22222837, 25381155, 27853284, 30982204, 19047743, 29271897, 29271897, 34325585, 25142400, 19757292, 15999850, 31895573, 31895573, 25025092, 34103155, 25920071, 25920071, 17526831, 31887491, 27855306, 10841973, 30105736, 29247937, 35335320, 36154437, 28078980, 8470139, 11069009, 3597582, 33119308, 33119308, 30664814, 16329864, 33809813, 27498615, 34315968, 31216791, 34595893, 16329929, 25648891, 16156515, 21883250, 36149606, 27723315, 31628546, 25346283, 34656507, 35060091, 25800181, 25672323, 33151829, 15240077, 35934756, 36371871, 23422035, 33730324, 24308451, 14625794, 1329659, 24779696, 23727349, 12102001, 27096861, 16939348, 32586416, 21894519, 21894519, 29382163, 17286572, 22208611, 34586315, 30802803, 32186729, 33321678, 23148097, 28671569, 29699461, 22610286, 26919329, 11583856, 33263896, 33263896, 32168852, 31652440, 18443920, 17432875, 17084935, 23177047, 33053906, 35255883, 26258580, 23692767, 33648196, 34587422, 35678834, 33881823, 32979167, 33019571, 32316674, 28582664, 23145781, 37298777, 29455337, 31563093, 30761715, 29379181, 37743431, 24060467, 32026679, 22216801, 28091787, 36112659, 18077467, 18077467, 11048592, 33467133, 31078632, 32470009, 30187101, 19635755, 18218971, 33044894, 11761144, 20580869, 2254865, 26146190, 27240384, 27240384, 12010005, 33218993, 34947073, 32070028, 21281165, 34418969, 2089062, 23734881, 31314691, 11885418, 26853932, 34442813, 25272834, 23730558, 35913539, 28251810, 30150708, 32664999, 7660383, 25303929, 35316475, 19270887, 25044730, 37154753, 10692071, 35640724, 32443391, 34691116, 31300723, 24725159, 25171330, 26098102, 26709849, 11542584, 32719949, 34885912, 34903917, 30073232, 34279376, 34815023, 29654493, 29681740, 21680357, 37367589, 36484866, 30104548, 24941165, 28345890, 22754340, 27458462, 32758003, 32454665, 36321740, 24250543, 31351529, 32410087, 24905482, 19588186, 36079565, 29461500, 32658247, 32824704, 32365690, 24976890, 20815231, 32755601, 38169223, 17393283, 31892111, 32638044, 34186116, 31542655, 35718477, 30634913, 32627318, 31598176, 28307624, 27007630, 32928565, 33339378, 8882807, 23757137, 26231244, 25398871, 27032594, 32523567, 35755649, 32965531, 24819608, 36235005, 35890128, 33143304, 34677431, 24011346, 34940680, 18461795, 32127240, 25628613, 29371553, 31825096, 35218388, 29859076, 27392610, 22986102, 35050981, 29906777, 30459788, 36079659, 32295926, 27229761, 14643798, 7380334, 20035325, 28348415, 19650180, 33150212, 9328526, 27796931, 36144275, 36410584, 32793548, 17177570, 35532879, 30468840, 29965419, 34886126, 25635112, 21724952, 32323057, 35939744, 32824632, 25825649, 25825649, 35661508, 33213566, 29228244, 25431341, 34678989, 23819940, 24997438, 34952071, 35498706, 26697323, 21144106, 35628367, 32957914, 26697333, 31252370, 29216824, 35630299, 31280042, 17922759, 35310393, 28587097, 33670308, 27781403, 22189493, 26529017, 12734623, 24136453, 32638161, 32055207, 32055207, 33930840, 19238967, 32120969, 18648671, 32723015, 30810931, 34756059, 37651951, 23812818, 33117900, 28425950, 30672434, 19189307, 27386110, 16728979, 28730710, 35501317, 23868407, 35807610, 25053476, 31967822, 24593676, 26621447, 19147108, 31791317, 30699961, 32629056, 26150756, 25442260, 22126586, 26102296, 23510283, 23803412, 29773006, 12436306, 22181840, 22783134, 22783134, 29867469, 29867469, 27649730, 29256842, 29256842, 26349515, 26349515, 22840014, 29655683, 28630461, 22866120, 17666849, 24049493, 24049493, 28752930, 16819170, 28081627, 25954914, 26082986, 18313195, 19501273, 19393284, 24369991, 26300947, 31030750, 25746617, 26394068, 23661989, 27910785, 29491836, 23510248, 27052674, 31926986, 18778764, 22624604, 31679302, 24940901, 27809277, 21779570, 23460242, 28076758, 24761950, 22717313, 21093573, 24173646, 26219260]"
wax,D014885,4,"[35870147, 31006101, 31364484, 34108825]"
xanthenes,D014966,3,"[26189049, 37315718, 33916658]"
lutein,D014975,2,"[27195655, 33996375]"
xylan,D014990,4,"[24064720, 28792629, 29430375, 32899185]"
xylene,D014992,1,[27370793]
xylitol,D014993,4,"[32656593, 35396966, 24274300, 30594983]"
d-xylose,D014994,22,"[35914151, 18943199, 27370793, 24064720, 37021806, 31690329, 33797632, 27600996, 36991200, 33200278, 31816475, 34612490, 28751896, 25775804, 33117787, 31030755, 26876995, 27649730, 31276724, 30678319, 29653168, 31679302]"
xylulose,D014996,2,"[27481302, 34108825]"
Yb3+,D015018,1,[37126866]
zearalenone,D015025,191,"[24291181, 24389085, 23477193, 25731032, 23915226, 23915226, 29258380, 34209232, 28608841, 14677916, 23465044, 6369143, 28390508, 12828470, 20047255, 22742524, 22567889, 26799401, 21493263, 32252249, 32252249, 26565730, 31540008, 33921591, 33921591, 22649328, 33625571, 33625571, 15156025, 15156025, 24295920, 16278459, 31137632, 31137632, 33932742, 33530606, 33530606, 19399242, 15734567, 15734567, 29964151, 16715543, 25575496, 29877214, 29877214, 28067768, 23422035, 31014248, 29535978, 24779696, 24779696, 23804155, 29382163, 29382163, 23047235, 33260849, 31123790, 32423889, 12075928, 17719115, 26907763, 26907763, 23874628, 28438205, 28438205, 28438205, 23162698, 23474971, 23474971, 24162094, 24162094, 24162094, 35878231, 33861173, 23347206, 23347206, 29677133, 23145781, 34831498, 12475276, 12475276, 7566055, 31760747, 31760747, 35729317, 29475061, 23606046, 33773354, 20681008, 36991200, 21833740, 21833740, 21833740, 8031711, 31159287, 34214671, 27401186, 27401186, 16637167, 16637167, 27128894, 27128894, 27128894, 3156854, 38002956, 16751557, 16751557, 143341, 35349103, 35349103, 35349103, 35448853, 22354659, 22354659, 10335380, 10335380, 17092826, 35324714, 35324714, 21571381, 21571381, 8946715, 27696419, 37601268, 37601268, 24919458, 35858796, 35858796, 32075201, 6217643, 24694905, 24694905, 33946240, 33946240, 21851693, 33418872, 33418872, 21803136, 21803136, 25089350, 35268678, 35268678, 35268678, 27679702, 34679005, 34679005, 34679005, 33664789, 23605868, 19572123, 19572123, 38235432, 24225645, 31596610, 31596610, 36294594, 37293851, 30851274, 30851274, 27465603, 27465603, 27465603, 33412719, 33412719, 10534900, 33717020, 23606076, 23606076, 23605662, 35090579, 35090579, 24987806, 30005262, 30005262, 34952071, 35672806, 35053978, 36165278, 36165278, 36165278, 34322101, 34322101, 33663294, 34562492, 31121952, 28233520, 12734623, 12734623, 26596546, 31887989, 29685276]"
2-methylthio-cis-zeatin,D015026,6,"[37630296, 38030710, 29906774, 37147372, 26638490, 32376849]"
Zn,D015032,25,"[12487445, 31741276, 36087724, 19151928, 34714461, 28482319, 35695596, 37110765, 24879544, 16365718, 27240384, 25987289, 29072738, 25630535, 22330145, 37532316, 34248871, 26755737, 32046254, 36294661, 35406958, 23572995, 32643096, 32714284, 31256391]"
Zinc Oxide,D015034,5,"[37110765, 37110765, 37110765, 32962271, 27330378]"
dithane Z-78,D015038,1,[7932107]
Zr,D015040,2,"[35695596, 36089190]"
3-isobutyl-1-methylxanthine,D015056,2,"[28336949, 28336949]"
DPPC,D015060,1,[24655129]
alpha-aminoadipate,D015074,7,"[24731804, 14766586, 14766586, 11717275, 12589472, 36671360, 15762783]"
#NAME?,D015080,1,[28368369]
2-2'-dipyridyl,D015082,1,[35851144]
2-4-dichlorophenoxyacetic acid,D015084,17,"[27844127, 27844127, 33322905, 32143105, 32143105, 30972989, 30972989, 22677450, 22677450, 20112812, 20112812, 37194429, 37194429, 26688290, 26688290, 33807415, 33807415]"
2-6-dichlorophenolindophenol,D015086,2,"[2394693, 37154753]"
beta-alanine,D015091,1,[15596476]
3-hydroxyanthranilic acid,D015095,2,"[32179171, 35596207]"
3-4-dihydroxyphenylacetic acid,D015102,1,[12747214]
MDA,D015104,4,"[29107234, 26220632, 27200003, 21540101]"
butyrolactones,D015107,34,"[21672958, 9758788, 9758788, 34500798, 20438771, 20438771, 21724894, 35794562, 31674853, 31098686, 33026584, 14510597, 30496667, 25375978, 25375978, 36294591, 26603760, 31030099, 31030099, 25566227, 28335447, 28335447, 28791090, 30298076, 36313355, 36313355, 37789186, 37789186, 27604497, 37623885, 30696899, 27682234, 27682234, 24367152]"
hydroxycoumarin,D015110,1,[37880578]
8-Hydroxyquinoline,D015125,4,"[34895071, 36640042, 29707819, 29707819]"
7-12-dimethylbenz[a]anthracene,D015127,6,"[17049251, 17049251, 17488130, 17488130, 19746919, 19746919]"
AZT,D015215,2,"[35809236, 35059528]"
PGE2,D015232,26,"[29946066, 32992840, 23612372, 28074397, 24574582, 35094261, 32397523, 31011928, 31011928, 29727733, 9578144, 9578144, 33013369, 20686231, 30149752, 30149752, 25457483, 25457483, 31645125, 31645125, 19651243, 19651243, 25380370, 21704694, 20937401, 20937401]"
phorbol-12- 13-dibutyrate,D015240,2,"[25541625, 25541625]"
Ofloxacin,D015242,4,"[34119841, 34936843, 34936843, 32165815]"
CA-103260,D015295,1,[37258607]
quinolinone,D015363,8,"[27498615, 27498615, 37423890, 37423890, 28628333, 19054330, 19054330, 35714148]"
Imipenem,D015378,3,"[34119841, 33028279, 3902652]"
inositol 1-4-5-trisphosphate,D015544,1,[8394100]
MPTP,D015632,2,"[33672606, 33719004]"
MgCl2,D015636,2,"[28036382, 34949143]"
cytochalasin D,D015638,5,"[21049610, 29236928, 30993742, 28220590, 25738405]"
tylosin,D015645,2,"[36607495, 36588460]"
pentostatin,D015649,4,"[32575649, 33979675, 29217480, 34442638]"
24-25-dihydroxyvariecolorin G,D015650,1,[36976244]
fluconazole,D015725,30,"[31816593, 33991663, 29049321, 34964912, 35881248, 31300118, 26483437, 21834253, 27695080, 32506599, 26342699, 26342699, 16964330, 33319423, 27085299, 27085299, 31100435, 28040409, 28040409, 35671583, 33550599, 27671284, 23730558, 23730558, 1476286, 37754674, 34201750, 31310122, 31310122, 31310122]"
nocodazole,D015739,1,[35714148]
ionomycin,D015759,3,"[25525886, 23848565, 16757745]"
4-aminopyridine,D015761,1,[34069724]
2-chloroadenosine,D015762,1,[12132658]
denosine,D015774,1,[30975797]
eicosanoid,D015777,7,"[33228536, 24500481, 35860381, 35860381, 27807434, 24394195, 29802883]"
carbapenems,D015780,10,"[32086747, 35458737, 35458737, 21824244, 17360277, 21924970, 37277707, 28705748, 36827127, 22194349]"
carboplatin,D016190,1,[22976482]
NMDA,D016202,1,[12502311]
benzoquinones,D016227,2,"[34100180, 36677409]"
dextran sulfate sodium,D016264,4,"[31927507, 33807544, 31679284, 31679284]"
Iloprost,D016285,1,[35059528]
ASO,D016376,1,[31982530]
FK506,D016559,6,"[26483437, 32344935, 37405392, 37405392, 19374978, 19374978]"
cyclosporine A,D016572,35,"[30369470, 28333084, 23818858, 21722090, 30732559, 9376111, 7763467, 7763467, 29396588, 29396588, 24391870, 35616333, 23084946, 15999850, 18208491, 30549849, 36441009, 23359455, 32344935, 10190031, 37405392, 37405392, 30234104, 29564395, 2509144, 328380, 328380, 19374978, 29766796, 36287989, 36287989, 16019806, 16019806, 27428885, 30355923]"
astemizole,D016589,2,"[26506361, 26506361]"
aphidicolin,D016590,6,"[36006216, 21897020, 21812410, 24710897, 29191129, 29191129]"
aflatoxin B1,D016604,164,"[30986121, 30986121, 30717215, 30717215, 25731032, 29258380, 29674152, 28618218, 30825812, 30825812, 30825812, 37665547, 27647242, 28958507, 29247055, 29247055, 25525683, 25285504, 30864381, 30864381, 29350762, 15258720, 29271897, 31608890, 32632328, 26338134, 26338134, 33567727, 30900741, 30905507, 31541640, 15156025, 32813277, 32813277, 27213959, 9532734, 16256699, 33809813, 33809813, 22497448, 22497448, 19238880, 34955062, 31150109, 31150109, 18076593, 18076593, 37392609, 29877214, 29877214, 29877214, 26568583, 26568583, 30635379, 30635379, 32340099, 32340099, 10200037, 16375826, 16375826, 35202114, 1902378, 30658506, 34724043, 27020290, 36555197, 36555197, 18816056, 18816056, 34863014, 26637470, 30520983, 28257049, 28257049, 19889978, 17084935, 15612624, 35183336, 37454507, 28725928, 30086344, 30086344, 33861173, 28582664, 28582664, 35945939, 35945939, 33138160, 33138160, 33138160, 35298847, 37797576, 30444348, 10096130, 10096130, 3103529, 36668827, 16944285, 35397670, 35397670, 38129052, 31024476, 31818874, 17161513, 17161513, 21038701, 33610633, 33610633, 28117705, 28117705, 28117705, 6803669, 28045427, 35490508, 35490508, 35490508, 34679002, 34679002, 36548780, 30150708, 11727790, 18079032, 18079032, 17092826, 22503712, 22503712, 22503712, 1618447, 34006318, 28582971, 28582971, 24919458, 33207581, 32121226, 32121226, 15508635, 33337481, 30812133, 12825981, 36828414, 26538778, 26538778, 37312734, 37312734, 35646486, 35646486, 30968272, 30468840, 32256475, 35090579, 35090579, 37791266, 29749305, 29749305, 24312879, 24312879, 34308039, 34308039, 34322101, 34322101, 27044011, 32723015, 32723015, 36629437]"
aflatoxin M1,D016607,5,"[32252249, 31159287, 35202161, 33337481, 30864375]"
6-OHDA,D016627,6,"[30623671, 33266016, 25692332, 25692332, 25692332, 26709153]"
FITC,D016650,2,"[21241775, 18778764]"
mitomycin C,D016685,1,[33979675]
mupirocin,D016712,3,"[8585741, 32588501, 35568198]"
arachidonic acid,D016718,9,"[24414310, 29039316, 25822288, 31356819, 1368907, 9578144, 8287669, 30392748, 25541625]"
swainsonine,D017026,16,"[30744547, 30744547, 2394693, 33544779, 2118517, 14766586, 24865187, 24865187, 36727281, 33643273, 34527085, 25044730, 25044730, 34356917, 22130270, 35572705]"
pravastatin,D017035,4,"[11956737, 11956737, 31333127, 23307850]"
taxol,D017239,59,"[34463800, 24810040, 24810040, 7494141, 29844429, 32630044, 37509074, 37509074, 28389711, 28389711, 23537181, 23537181, 23537181, 30369284, 37032397, 27400176, 29625656, 31241432, 32673365, 32673365, 30292350, 32217134, 32217134, 32023633, 28754205, 31474098, 20628412, 20628412, 22622838, 20232067, 30366473, 33725144, 26225453, 18512022, 23346084, 14514062, 29021785, 29021785, 33791289, 26287401, 27895623, 27895623, 29538316, 29538316, 37849927, 26204758, 26204758, 26204758, 32849706, 32849706, 15604042, 31137730, 37512818, 34121835, 22593939, 33477910, 34136363, 32084416, 25633363]"
glycosylphosphatidylinositol,D017261,2,"[36354919, 37213496]"
teicoplanin,D017334,2,"[38093524, 19291695]"
CDA,D017338,1,[21342466]
CPA,D017373,2,"[36675939, 37126866]"
quinolinic acid,D017378,6,"[25486577, 25486577, 25074636, 25074636, 32147388, 32147388]"
reactive oxygen species,D017382,251,"[20495914, 31671910, 31671910, 28618218, 28618218, 33561228, 33561228, 22465162, 30413850, 30413850, 19880801, 21421360, 17178464, 25532893, 25532893, 20028480, 20028480, 35862794, 33962980, 33962980, 26781612, 26781612, 32986977, 26848704, 26848704, 30905507, 30905507, 20525005, 20525005, 36076457, 36076457, 35201581, 35201581, 33637571, 33369055, 35366869, 35366869, 33119308, 33119308, 27648556, 21478304, 31883976, 31883976, 31900551, 31900551, 31488075, 31488075, 30742443, 30742443, 30808300, 32133853, 32133853, 34476516, 34476516, 30459771, 30459771, 25230522, 25230522, 33386071, 33386071, 35188050, 31215239, 31215239, 31215239, 22913493, 22913493, 32250030, 32250030, 33064185, 33064185, 23495785, 23452946, 23452946, 32539966, 32539966, 23278536, 23278536, 23266949, 23266949, 33477273, 33477273, 32301267, 32301267, 24858094, 24858094, 32659716, 27941917, 32622693, 32622693, 30739227, 30739227, 35776952, 35776952, 16483254, 16483254, 31529514, 31529514, 21044044, 21044044, 28901910, 28901910, 30769930, 30769930, 35298847, 35298847, 24071573, 24071573, 23094106, 23094106, 33910564, 33910564, 28356071, 31364484, 31364484, 27550200, 27550200, 35108082, 35108082, 35108082, 16944285, 30776385, 32489101, 32489101, 31553036, 31553036, 29453255, 29453255, 18396055, 18396055, 31752168, 31752168, 25457945, 25457945, 32170889, 32170889, 30934922, 30934922, 28791446, 28791446, 35843028, 35843028, 29100800, 29100800, 27231874, 19694954, 31972453, 31972453, 24920452, 24920452, 12423020, 29248571, 22409158, 22409158, 12963009, 21676428, 21676428, 36235056, 36235056, 30693585, 27554775, 27070586, 27070586, 28454711, 28454711, 20530195, 20530195, 26388840, 26388840, 22942765, 22942765, 30073232, 30073232, 34337364, 14534326, 14534326, 28066369, 28066369, 33672641, 33672641, 35887413, 35887413, 35628769, 35628769, 28159987, 28159987, 29069821, 29069821, 30200599, 30200599, 35432401, 35432401, 31542655, 26089832, 26089832, 30123617, 30123617, 30123617, 21115388, 32474470, 32474470, 30408892, 30408892, 30408892, 31776675, 30993555, 30993555, 31481196, 31481196, 24131360, 24131360, 29906777, 27465603, 27465603, 30709496, 33717020, 23493063, 23493063, 33630178, 32442472, 32442472, 9870716, 24591720, 30837881, 28178212, 19355906, 19355906, 29062957, 29345563, 29604911, 19861509, 19861509, 28081627, 28081627, 25355452, 25355452, 27647012, 27647012, 25431605, 25431605, 25431605, 21916504, 21916504, 19838944, 26327534, 26327534, 20607489, 22564240, 22564240, 21093573, 21093573, 27536140]"
TBARS,D017392,4,"[14598209, 21676428, 21676428, 11727790]"
daptomycin,D017576,3,"[30549849, 32994334, 19291695]"
zeolite,D017641,1,[31546616]
hydroxyl,D017665,36,"[34258698, 30994190, 36462111, 1329659, 23613141, 10375406, 14711659, 34587422, 36548713, 15744078, 35675545, 37133783, 37110765, 36797237, 33374225, 36677409, 29730002, 12423020, 37154753, 11727790, 24652711, 32410087, 37108917, 35596207, 30429444, 15479035, 32285166, 26876995, 22819952, 17666849, 23442636, 31993159, 22536281, 23661989, 23661989, 23598461]"
lignans,D017705,21,"[31883608, 23255442, 30109409, 30109409, 18396055, 18396055, 33070347, 23543048, 26157423, 37360552, 30524412, 29925808, 37539183, 33477910, 24932777, 24932777, 24932777, 38169014, 34785251, 19687189, 21115251]"
ansamycin,D017828,1,[32139731]
Triton X-100,D017830,3,"[34601020, 25797403, 24411445]"
isothiocyanates,D017879,13,"[19554039, 23940639, 29743024, 29743024, 21418358, 33916093, 36655756, 35991403, 29969500, 26089832, 26089832, 21115388, 12694440]"
isocyanates,D017953,1,[36228969]
linolenate,D017962,19,"[36377298, 37642890, 37532330, 37001015, 37175133, 37175133, 37436951, 14598209, 30466581, 36175855, 31353580, 33557748, 33430779, 34381122, 38171409, 36640042, 32337100, 38249485, 37623885]"
itraconazole,D017964,11,"[25737146, 16964330, 28040409, 33550599, 36848730, 18338920, 37034632, 14742792, 14742792, 37623579, 37226893]"
gamma-linolenic acid,D017965,2,"[36461385, 25935344]"
leukotriene C4,D017997,1,[16213796]
lithium chloride,D018021,2,"[26091897, 30335843]"
sodium selenite,D018038,3,"[36662349, 31114564, 30993725]"
phosphatidylinositol phosphate,D018129,2,"[37235354, 8394100]"
Glu,D018698,39,"[17706732, 30413850, 2394693, 31895573, 31895573, 24080397, 34202732, 34202732, 30742443, 33233162, 30337674, 28671569, 23479415, 30109409, 15387655, 3156854, 11375168, 27070586, 34691116, 34636422, 11024526, 32771142, 32046254, 30200599, 22795749, 16345829, 22695523, 22695523, 32052973, 32650225, 19282369, 15487928, 30594983, 15884853, 12502311, 30825574, 27809277, 27809277, 27809277]"
3-4-methylenedioxymethamphetamine,D018817,2,"[29306167, 29306167]"
macrolides,D018942,43,"[33596801, 36976227, 37108503, 34822516, 35746878, 36355024, 28717220, 12756301, 25559850, 33913403, 29168908, 29168908, 19413120, 37757923, 35848075, 33166597, 35141868, 20336498, 16964330, 29946066, 21539752, 35736196, 37998898, 33494367, 21318900, 33810439, 33499369, 32550925, 17393283, 20133795, 26153129, 1770350, 24299107, 35958129, 25301375, 37508183, 14538099, 27530743, 22777252, 23350846, 26718561, 26809052, 30696492]"
anthracycline,D018943,4,"[18776679, 33477273, 33477273, 1367126]"
sialic acid,D019158,1,[25011108]
beta-carotene,D019207,10,"[29986518, 27707428, 28991177, 27195655, 32517286, 32298749, 35094184, 37108908, 29564145, 8893341]"
CdCl2,D019256,2,"[31627093, 34714461]"
phosphatidylinositol 4-5-bisphosphate,D019269,2,"[8394100, 8394100]"
hypoxanthine,D019271,2,"[2967694, 35430257]"
thapsigargin,D019284,1,[21821923]
pyruvate,D019289,21,"[24100269, 27005411, 22981000, 20003296, 12634789, 99644, 99644, 32049975, 21720823, 613925, 26292030, 21081066, 29440400, 34010024, 34010024, 10919763, 26016674, 32028654, 35640724, 30131770, 29867844]"
2-4-dinitrophenol,D019297,2,"[32251647, 5485731]"
glucose-6-phosphate,D019298,2,"[37328131, 38030710]"
oleic acid,D019301,13,"[33743702, 33571807, 36985405, 37811935, 37811935, 23111002, 25797403, 22991673, 35877756, 34361136, 24941169, 24033596, 26559860]"
5-6-dihydro-4H-7H-2-6-methanopyrano[4-3-d][1-3]dioxocin-7-one,D019307,2,"[37008457, 36549230]"
palmitic acid,D019308,27,"[33743702, 23709484, 32207881, 19708882, 36677617, 21857543, 37811935, 37298969, 865598, 36175855, 37450962, 36626751, 32122336, 36378665, 37610512, 37662726, 30123207, 36268228, 34361136, 19441818, 32805028, 37490243, 33968568, 34056251, 37836155, 24941169, 26559860]"
staurosporin,D019311,7,"[21585551, 32253091, 21873479, 21873479, 35744705, 35744705, 31989798]"
L-NMMA,D019323,3,"[34900941, 29510036, 29510036]"
Copper sulphate,D019327,2,"[29188775, 37544109]"
N(omega)-nitro-L-arginine methyl ester,D019331,1,[21028898]
Nomega-nitro-L-arginine,D019335,1,[15604042]
acetic acid,D019342,43,"[33652111, 34395628, 24727748, 24865990, 21531033, 18585066, 30287912, 17103156, 15141066, 26861361, 21786136, 7649874, 36228969, 34014663, 28164793, 6422823, 6422823, 11870853, 2089062, 27293085, 18827367, 10919763, 33340944, 25303929, 37232471, 32443391, 26676687, 34443414, 19919120, 30636598, 30636598, 27138201, 33337481, 27144019, 16347506, 32084416, 36079659, 17657535, 35360328, 23664264, 36629437, 35501317, 22348255]"
Citric Acid,D019343,38,"[26566947, 26566947, 27787678, 33955461, 15591617, 28618218, 28618218, 29117646, 3289565, 19409083, 30864381, 24727748, 31213557, 15999850, 17784953, 17604395, 30349117, 12172605, 31846377, 36735958, 35879501, 27169528, 16333345, 16333345, 613925, 36012547, 31540336, 19386490, 32695080, 21539752, 32443391, 22924897, 34108825, 29850025, 19919120, 7812438, 12672588, 17061830]"
lactic acid,D019344,66,"[28394635, 37532330, 33067797, 27005411, 24727748, 8546454, 15999850, 36982130, 33921591, 22497448, 20185187, 30287912, 37235364, 20003296, 20003296, 17103156, 31611057, 34347199, 32507600, 19915041, 26040909, 28720287, 26385547, 36914328, 35708071, 33340944, 32443391, 32443391, 21742008, 26189714, 17092826, 24151782, 36588460, 16535476, 32650136, 19441818, 19919120, 19919120, 27048394, 32523575, 30636598, 37774634, 19548685, 27192145, 27144019, 38235432, 38235432, 36079659, 30864375, 35525431, 35525431, 27886374, 15831135, 23664264, 23664264, 23664264, 29889418, 31133993, 38108665, 37206916, 31671166, 31671166, 15487928, 20456526, 20456526, 35501317]"
sodium acetate,D019346,7,"[36587216, 23121598, 26946170, 19680788, 25970559, 25970559, 22202970]"
potassium citrate,D019357,1,[38169223]
glycyrrhizic acid,D019695,9,"[33820543, 29455337, 31353580, 31861523, 21851508, 25986282, 36864204, 32957914, 32895581]"
topotecan,D019772,2,"[22593939, 17190463]"
linoleic acid,D019787,33,"[35705862, 31872390, 33484615, 28991177, 31052486, 23479415, 15744078, 12929847, 31353580, 35576219, 32122336, 20571794, 24116376, 25951778, 25951778, 22991673, 29162465, 29162465, 32298749, 35094184, 31565469, 31565469, 34108825, 34361136, 26286349, 35403275, 31368544, 31182095, 35714148, 24941169, 16989534, 24033596, 26559860]"
