Chemicals,ChemicalsID,Length,PMID
7-hydroxy-3-methoxyviridicatin,C000618257,1,[27498615]
Amhezole,C000618351,1,[28083890]
7-4'-dihydroxyflavone,C000618353,3,"[25667316, 20132953, 20132953]"
Nigricin,C000618731,1,[34555449]
hydroxy neovasinin,C000619293,1,[27806646]
asperolan,C000619294,1,[27806646]
neovasifurarone B,C000619295,1,[27806646]
colletochlorin F,C000619714,1,[28042942]
Pinicolol B,C000619793,2,"[28167294, 28167294]"
Fusarithioamide A,C000620294,1,[27634222]
corallocin B,C000620740,1,[27588730]
Quambalarine B,C000620742,2,"[27571379, 27571379]"
11-norbetaenone,C000621235,1,[28336142]
Waspergillamide A,C000621408,2,"[28234476, 28234476]"
Cryptoporic acid S,C000621766,1,[27756154]
Pinacol,C000621940,1,[28444602]
epoxydon,C000622136,1,[36187943]
2-bromogentisyl alcohol,C000622139,1,[30688672]
dihydroisobenzofuran,C000622168,2,"[34822456, 31134356]"
afidopyropen,C000622232,1,[34202923]
lepistatin B,C000622678,1,[28803994]
dihydropyranopyran-4-5-dione,C000622815,1,[31370299]
pyriculols,C000623120,5,"[33218033, 27902426, 27902426, 33577666, 33577666]"
chaetomiamide A,C000623161,1,[28652012]
Antroquinonols V,C000624240,1,[28898082]
3-5-dimethylorsellinic acid,C000624496,6,"[35797862, 35797862, 33445966, 33445966, 33892126, 29920099]"
7-cyano-7-deazaguanine,C000624711,1,[27937735]
erinaceolactones G,C000625038,1,[28351165]
nocapyrones,C000625247,1,[23352141]
Stellasterol,C000625250,1,[32856730]
oxalamido-L-phenylalanine methyl ester,C000625270,1,[28395537]
lumichrome hydrolyzate,C000625272,1,[28395537]
5-methylmellein,C000625511,1,[20034211]
11-12-epoxy-5-6-seco-1-6(13)-tremuladien-5-12-olide,C000625954,1,[27892688]
fusarubin,C000625962,15,"[32139880, 27474520, 29080998, 33652111, 29204899, 23469152, 23469152, 26537223, 26537223, 31014248, 22662164, 22492438, 22492438, 22983595, 34070644]"
antrodin A,C000625990,1,[29082691]
cameroonane,C000626595,1,[28617493]
metconazole,C000627121,1,[33810162]
Matsutoic Acid,C000627429,2,"[28691489, 28691489]"
Matsutakone,C000627430,1,[28691489]
divaricatic acid,C000627593,2,"[19151928, 19427006]"
cyanobactins,C000627612,2,"[27037119, 27037119]"
Tundrenone,C000627718,4,"[29361220, 29361220, 31964770, 31964770]"
alpha-keto carboxylic acid,C000627893,2,"[29305695, 29305695]"
sophorolipid,C000627985,9,"[33097965, 33097965, 33097965, 29067677, 32329773, 32329773, 32329773, 23516968, 23516968]"
Shenqinmycin,C000628143,1,[26369437]
epicatechin vanillate,C000628502,1,[22475000]
Graphene oxide,C000628730,6,"[32432828, 32432828, 32432828, 32549239, 25215188, 36179558]"
2-amino-3-hydroxycyclopent-2-enone,C000628799,1,[26300877]
igniarine,C000629055,1,[29232973]
deca-6-9-diene,C000857,1,[37374906]
depsidones,C000875,39,"[37877655, 34680078, 34680078, 34680078, 29280946, 35156862, 21289108, 22372603, 15324838, 36630529, 22223171, 18280724, 36648526, 24170172, 36551248, 36551248, 33558649, 33558649, 28898764, 32364069, 19796768, 22516892, 37298969, 35975750, 33618379, 28515022, 30563178, 30563178, 34034351, 34034351, 15757498, 38067568, 28012710, 28012710, 33177283, 33177283, 26744260, 34443375, 28887754]"
2-7-dichlorodibenzo-p-dioxin,C000925,1,[1551837]
actiphenol,C000961,2,"[22852578, 26036671]"
3-4-dihydroxyphenyl propionic acid,C000995,1,[26166134]
6-7-dimethyl-8-ribityllumazine,C001061,1,[36813111]
echinuline,C001132,1,[22816304]
5-fluoroorotic acid,C001242,4,"[33672933, 29763675, 29763675, 29557773]"
geldanamycin,C001277,4,"[33979675, 28472671, 21672101, 22129602]"
geosmin,C001278,6,"[16459143, 31615965, 9298190, 28724695, 31832838, 31832838]"
glucosamine-6-phosphate,C001293,1,[31088917]
gamma-L-glutaminyl 3-4-benzoquinone,C001297,1,[5289001]
gamma-L-glutaminyl 4-hydroxybenzene,C001298,1,[5289001]
2-Heptyl-4-hydroxyquinoline N-oxide,C001333,4,"[28708374, 28708374, 21357296, 21357296]"
herbarin,C001334,2,"[32334437, 31354886]"
variotin,C001405,1,[23457797]
DL-3-(4-Hydroxyphenyl)lactic acid,C001418,1,[38240473]
indolmycin,C001447,1,[15487928]
lanthionine,C001520,3,"[30256170, 37209150, 24586765]"
limonin,C001546,4,"[34691116, 33684718, 20030384, 27171979]"
Lumichrome,C001559,4,"[35583969, 29194412, 32292060, 30975797]"
astragalin,C001579,1,[31384828]
chetomin,C001598,2,"[25787158, 35471617]"
hyperforin,C001654,2,"[27999964, 21626142]"
Indole Acetaldehyde,C001655,2,"[32367442, 32367442]"
madecassic acid,C001669,1,[29980864]
malformin,C001675,5,"[30560908, 19756540, 20003296, 18486645, 31867115]"
diacetoxyscirpenol,C001809,22,"[36006216, 25731032, 22742524, 22567889, 36982130, 33625571, 33625571, 7566056, 15734567, 15734567, 11913766, 11913766, 9143116, 24162094, 24162094, 24162094, 7566055, 7566055, 20061240, 8946715, 35858796, 3629610]"
triptolide,C001899,3,"[26571694, 36797237, 36797237]"
syringic acid,C001945,6,"[30993052, 36603641, 34126809, 34126809, 12696935, 23799608]"
myriocin,C001996,2,"[21456524, 35521576]"
Chalcomycins,C002018,4,"[28555051, 28555051, 28555051, 22777252]"
Betulinic acid,C002070,13,"[33725144, 37446570, 28490129, 28490129, 28490129, 27568476, 27568476, 37367540, 28000514, 22039103, 35218388, 30520575, 30520575]"
elemicin,C002135,1,[32122336]
chartreusin,C002185,1,[33979675]
glycerophosphoethanolamine,C002449,1,[20024080]
fusarenon-X,C002469,8,"[15069674, 11913766, 18473219, 23047235, 22897823, 20681008, 22354659, 8946715]"
cinobufagin,C002471,1,[37717245]
ABTS,C002502,63,"[32876067, 32876067, 34609530, 35201581, 36462111, 33275974, 33275974, 37644606, 37522531, 36637545, 36637545, 31813856, 34595890, 34595890, 36964798, 24206732, 23936810, 32174195, 33645028, 34227409, 34595887, 35255883, 34587422, 37110485, 36235256, 32443449, 30776385, 34602399, 34602399, 36451566, 37585318, 37585318, 31795252, 26559857, 35295309, 27562017, 37110128, 37110128, 37779226, 36338578, 35094184, 37415810, 38248931, 37894138, 27272544, 33028279, 33028279, 34235296, 34867905, 31114564, 25863020, 26709153, 29773898, 29773898, 16488146, 24547933, 32285166, 22004964, 18565749, 29773008, 31993159, 31993159, 23460242]"
betulin,C002503,9,"[25027706, 37446570, 38141183, 37367540, 22039103, 30520575, 30520575, 25954909, 25197307]"
chaetocin,C002511,2,"[28376389, 36626751]"
xanthan,C002563,1,[15487928]
#NAME?,C002627,1,[27098256]
parthenolide,C002669,1,[26559860]
Neoantimycins,C002699,1,[28358337]
3-nitrotyrosine,C002744,1,[28081627]
nornuciferine,C002753,1,[35942979]
norsolorinic acid,C002754,9,"[17660441, 31546792, 501330, 18798037, 16944285, 7592391, 30150708, 10511551, 10511551]"
octacosane,C002763,1,[31194076]
oleuropein,C002769,3,"[33339378, 30672434, 26587275]"
oosponol,C002774,1,[8216897]
ovalicin,C002781,4,"[36000736, 34946641, 22130246, 22130246]"
2-3-Oxidosqualene,C002821,5,"[26125648, 26125648, 26125648, 29948122, 22039103]"
Tetrydamine,C002845,1,[36228969]
ophiobolins,C002884,9,"[24287995, 24287995, 26728016, 33233743, 33233743, 35063731, 26332841, 35163826, 35163826]"
gamma-butyrobetaine,C002889,2,"[14595781, 32214138]"
alpha-acetylorcinol,C002934,2,"[38057589, 36706978]"
Loganic acid,C002947,3,"[35392806, 35392806, 36061750]"
geranylgeranyl diphosphate,C002963,9,"[36314906, 18262778, 19047398, 19047398, 37096757, 37096757, 36595079, 36595079, 18398052]"
pyrrole-2-carboxylic acid,C002986,1,[30747297]
beta-1-3-glucan polysaccharide,C003045,1,[32461274]
phenylacetylglutamine,C003089,2,"[32762536, 32762536]"
phosphinothricin,C003121,2,"[21498556, 36721452]"
bialaphos,C003122,1,[2573090]
4'-phosphopantetheine,C003129,2,"[17464044, 22223171]"
pisatin,C003161,1,[18331050]
polygalacturonic acid,C003181,1,[31715206]
poly-beta-hydroxybutyrate,C003182,1,[21043573]
propionylcarnitine,C003223,1,[25828073]
rimocidin B,C003273,4,"[37630296, 32221690, 25876602, 34660550]"
reticuline,C003298,3,"[35942979, 35575690, 27740901]"
sordarins,C003329,5,"[29774351, 28383269, 33802411, 33802411, 33802411]"
taxifolin,C003377,9,"[31891261, 31687578, 35692040, 30951817, 38141183, 31622552, 34745078, 12747214, 28713417]"
tentoxin,C003384,20,"[15675796, 24071643, 34486889, 31802615, 4040168, 27517345, 27682608, 6686908, 35878437, 30500690, 37050021, 25751147, 16890318, 30552586, 27845716, 27845716, 38147116, 28848500, 31406682, 30787913]"
3-3'-4'-5-tetrachlorosalicylanilide,C003390,1,[16333345]
tetranactin,C003417,1,[27486824]
thymohydroquinone,C003465,1,[36558036]
thymoquinone,C003466,1,[29707819]
brassicasterol,C003532,1,[34575718]
tomatidine,C003677,6,"[10517025, 16870766, 16870766, 10903116, 21357296, 21357296]"
1-3-5-trimethyl,C003715,1,[36677409]
tropone,C003730,1,[31134356]
ubiquinol,C003741,4,"[31883608, 32986977, 38156666, 32256475]"
umbelliprenin,C003744,1,[32156246]
validamycin,C003749,1,[26704727]
dhb,C003870,1,[18957859]
C15,C003946,1,[34686131]
dexamethasone sodium phosphate,C004180,1,[31415371]
5-methyltryptophan,C004182,1,[26434315]
2-(2-Furyl) benzimidazole,C004198,2,"[31541640, 31541640]"
pleuromutilin,C004262,6,"[27809954, 30738916, 19527297, 36779837, 37744150, 37744150]"
chrysazin,C004315,1,[24361402]
goitrin,C004333,1,[29969500]
dichloran,C004354,1,[12088399]
6-aminopenicillanic acid,C004408,2,"[20941491, 8277946]"
amicetin,C004413,1,[34071728]
asiaticoside,C004446,7,"[29980864, 29980864, 29438895, 29438895, 21688071, 21688071, 21688071]"
beauvericin,C004456,85,"[23818858, 23077591, 29173624, 33451141, 11678587, 29073267, 34242870, 29080998, 23465044, 34486889, 36800366, 28040774, 30781844, 28648292, 22742524, 30991649, 29574332, 36982130, 31540008, 25742265, 33625571, 33625571, 27840396, 33904328, 34348672, 30706436, 11982443, 11982443, 20455157, 20455157, 25641103, 25641103, 34576051, 23334038, 23334038, 25209635, 33803611, 30791467, 32189177, 32552395, 33861173, 23145781, 27916854, 36989929, 15925394, 33287253, 33287253, 27750383, 27750383, 35501595, 35501595, 27869761, 28720287, 28720287, 28125067, 28125067, 28125067, 10606581, 10606581, 18274964, 35330256, 38002956, 16621435, 36984865, 34575814, 12324191, 19517454, 19517454, 37504769, 19285149, 37968430, 35521576, 34968860, 34968860, 34968860, 2509144, 27795279, 19774368, 34512581, 34946987, 31640173, 26809139, 26809139, 26809139, 24862062]"
agroclavine-1,C004465,3,"[14768549, 17117820, 12625043]"
allyl isothiocyanate,C004471,10,"[29743024, 34259546, 34259546, 25362058, 25362058, 37743431, 37743431, 26146190, 26146190, 12694440]"
aminoguanidine,C004479,2,"[30339926, 29491836]"
blasticidin S,C004500,2,"[26376763, 28342817]"
BEA,C004504,1,[38002956]
butenolides,C004511,23,"[37921483, 29173624, 37108503, 16869896, 30014920, 36468887, 34542359, 32673639, 34199488, 34199488, 3156854, 35516645, 30244016, 30244016, 30400195, 30400195, 30400195, 37213498, 37267595, 36618870, 36618870, 24477283, 24477283]"
anthrone,C004522,2,"[19746917, 30995533]"
aspergillic acid,C004524,5,"[29674152, 28958507, 29088078, 18486645, 32403244]"
